joined_count,category,keyword,doc count,category count,keyword count,PMI
249,EUR,Euribor,4369432,4084,1012,263.243760476631
69,EUR,constitution,4369432,4084,639,115.528060954693
195,EUR,EURIBOR,4369432,4084,2089,99.8700857858593
21,EUR,Telicka,4369432,4084,282,79.6726821847584
28,EUR,enlargement,4369432,4084,386,77.6086230608009
39,EUR,campaign,4369432,4084,558,74.7772792855413
105,EUR,EP,4369432,4084,1602,70.1238963049372
23,EUR,report,4369432,4084,356,69.1221263577238
18,EUR,Visegrad,4369432,4084,309,62.3237070072174
66,EUR,Spidla,4369432,4084,1215,58.1174979746315
18,EUR,Solana,4369432,4084,363,53.0524117499454
13,EUR,PROFILE (in focus),4369432,4084,341,40.7876068830225
483,EUR,sazby,4369432,4084,12863,40.1739109578126
58,EUR,EMU,4369432,4084,1559,39.8034878833779
56,EUR,WTO,4369432,4084,1646,36.3996701111411
27,EUR,Verheugen,4369432,4084,812,35.5751701943907
11,EUR,in focus,4369432,4084,349,33.7214708878593
15,EUR,Prodi,4369432,4084,485,33.0893908337288
319,EUR,referendum,4369432,4084,10549,32.3533042805975
16,EUR,election,4369432,4084,544,31.4673618712911
15,EUR,VAT,4369432,4084,512,31.3444424889814
4076,EUR,EU,4369432,4084,169530,25.7233107861205
74,EUR,parliament,4369432,4084,3956,20.0131148807301
10,EUR,border,4369432,4084,566,18.9026555410583
47,EUR,ECB,4369432,4084,2747,18.3053674081992
42,EUR,Microsoft,4369432,4084,2485,18.0826530189955
13,EUR,decrees,4369432,4084,844,16.4793530179036
11,EUR,fraud,4369432,4084,721,16.3228756447474
20,EUR,EC,4369432,4084,1360,15.7336809356456
18,EUR,conference,4369432,4084,1233,15.618836549254
48,EUR,Svoboda,4369432,4084,3332,15.4125854063467
15,EUR,kandidáti,4369432,4084,1048,15.3133154144642
28,EUR,Špidla,4369432,4084,2015,14.8669620354686
40,EUR,poll,4369432,4084,2905,14.7317081393996
11,EUR,aktivita,4369432,4084,820,14.3521869998328
11,EUR,Chirac,4369432,4084,839,14.0271672703968
15,EUR,labour,4369432,4084,1165,13.7754116346425
18,EUR,Dzurinda,4369432,4084,1500,12.8386836434868
20,EUR,ministři,4369432,4084,1723,12.4189240118851
10,EUR,US,4369432,4084,953,11.2265509299465
11,EUR,DEU,4369432,4084,1066,11.0401438460252
23,EUR,KSCM,4369432,4084,2490,9.88252087684725
47,EUR,euro,4369432,4084,5441,9.24183868228693
21,EUR,rozšíření,4369432,4084,2942,7.6368784419109
17,EUR,France,4369432,4084,2439,7.45720998835845
127,EUR,press,4369432,4084,18474,7.35498909603957
10,EUR,regions,4369432,4084,1455,7.35319796305085
17,EUR,podnikatelé,4369432,4084,2589,7.02515842472239
473,EUR,banky,4369432,4084,72357,6.99390679013922
14,EUR,Litva,4369432,4084,2234,6.70477361268334
41,EUR,Austria,4369432,4084,6719,6.52857604533112
13,EUR,DPH,4369432,4084,2173,6.40063228122903
20,EUR,ústava,4369432,4084,3352,6.38359369703997
13,EUR,SČH,4369432,4084,2186,6.36256813683014
31,EUR,Senate,4369432,4084,5321,6.23315155277971
12,EUR,Iraq,4369432,4084,2129,6.03038217167063
19,EUR,taxes,4369432,4084,3413,5.9560257160428
91,EUR,summit,4369432,4084,16348,5.95546963725072
12,EUR,drůbež,4369432,4084,2237,5.73924168238121
362,EUR,kurzy,4369432,4084,67979,5.69735197504893
43,EUR,Germany,4369432,4084,8143,5.64967248628609
17,EUR,Poland,4369432,4084,3365,5.4050921728399
76,EUR,diplomacy,4369432,4084,15390,5.28340890678468
15,EUR,Lotyšsko,4369432,4084,3054,5.25486396671856
102,EUR,obchod,4369432,4084,21847,4.99513942278746
23,EUR,agriculture,4369432,4084,5061,4.86217683923131
16,EUR,Romanies,4369432,4084,3525,4.85623967602337
29,EUR,Paroubek,4369432,4084,6417,4.8350972113282
74,EUR,NATO,4369432,4084,16449,4.8131729873043
60,EUR,elections,4369432,4084,13369,4.80166192066975
220,EUR,Slovakia,4369432,4084,49963,4.71100347851926
11,EUR,steel,4369432,4084,2583,4.55624984121676
18,EUR,environment,4369432,4084,4341,4.43631086506108
12,EUR,Kypr,4369432,4084,2971,4.32133411090097
93,EUR,Klaus,4369432,4084,23379,4.25594756991413
21,EUR,budget,4369432,4084,5322,4.22166410674593
22,EUR,parties,4369432,4084,5902,3.98806958314567
34,EUR,inflace,4369432,4084,9575,3.79908828440862
13,EUR,Britain,4369432,4084,3842,3.62013897634323
14,EUR,migration,4369432,4084,4237,3.53515795391423
11,EUR,KDU,4369432,4084,3496,3.36635965099053
1170,EUR,Czech,4369432,4084,372789,3.35785566430329
118,EUR,MIX,4369432,4084,38206,3.3043777372041
30,EUR,health,4369432,4084,9731,3.29839781201489
50,EUR,počítače,4369432,4084,16239,3.29420008505418
18,EUR,mínění,4369432,4084,5884,3.2729479036761
12,EUR,Bosna,4369432,4084,3992,3.21610311710591
11,EUR,2003,4369432,4084,3698,3.18247521359191
33,EUR,jaderné,4369432,4084,11394,3.09868176405026
11,EUR,prosinec,4369432,4084,4087,2.87956773669265
18,EUR,law,4369432,4084,6716,2.86748443496578
38,EUR,Chamber,4369432,4084,14349,2.8333564386165
11,EUR,food,4369432,4084,4196,2.80476485697399
52,EUR,zemědělství,4369432,4084,19917,2.79330701352828
11,EUR,social,4369432,4084,4214,2.79278437111127
12,EUR,konference,4369432,4084,4642,2.76576554146635
13,EUR,minorities,4369432,4084,5072,2.74222672458807
55,EUR,potraviny,4369432,4084,21465,2.74139141389771
23,EUR,HDP,4369432,4084,8997,2.7350758011948
35,EUR,Írán,4369432,4084,14443,2.59268577351218
158,EUR,finance,4369432,4084,65800,2.569037507182
14,EUR,Bush,4369432,4084,5847,2.56173494967241
11,EUR,srpen,4369432,4084,4619,2.54790936130394
77,EUR,parlament,4369432,4084,33120,2.48736574212078
10,EUR,funds,4369432,4084,4307,2.48407314516809
20,EUR,ohlasy,4369432,4084,8730,2.45106598768362
59,EUR,tisk,4369432,4084,25937,2.43372509981147
48,EUR,rozpočet,4369432,4084,21282,2.41305960783512
11,EUR,Senát,4369432,4084,4931,2.38669505979779
15,EUR,pěstování,4369432,4084,6732,2.38389105085539
11,EUR,trade,4369432,4084,4956,2.37465563758331
82,EUR,government,4369432,4084,37378,2.34712945842901
10,EUR,listopad,4369432,4084,4604,2.32382776634209
22,EUR,CSSD,4369432,4084,10225,2.30196446745484
25,EUR,EK,4369432,4084,11801,2.26652466660431
28,EUR,zbraně,4369432,4084,13600,2.20271533099038
13,EUR,police,4369432,4084,6370,2.18344959923244
15,EUR,výhled,4369432,4084,7512,2.13636242736401
47,EUR,ODS,4369432,4084,23850,2.1083792146886
57,EUR,economy,4369432,4084,30429,2.00413248238727
10,EUR,Irsko,4369432,4084,5356,1.99755471176979
11,EUR,hutě,4369432,4084,5960,1.97462975501055
16,EUR,práce,4369432,4084,8824,1.93996428580943
46,EUR,2nd version,4369432,4084,25839,1.90467719210106
60,EUR,Irák,4369432,4084,35471,1.80974368406399
22,EUR,Belgie,4369432,4084,13659,1.7232291294916
11,EUR,KSČM,4369432,4084,6839,1.72083540574103
144,EUR,diplomacie,4369432,4084,92873,1.65886967925922
30,EUR,daně,4369432,4084,20465,1.56837083355568
51,EUR,Polsko,4369432,4084,35925,1.51884218468528
10,EUR,Prague,4369432,4084,7260,1.47367810416515
27,EUR,MONITOR,4369432,4084,19803,1.45872030489548
19,EUR,voda,4369432,4084,14423,1.40940967682549
11,EUR,bezpečnost,4369432,4084,8370,1.40606849938625
28,EUR,Turecko,4369432,4084,21564,1.38921018834489
10,EUR,investice,4369432,4084,7738,1.38264448646149
20,EUR,2. VERZE,4369432,4084,16196,1.32117844359582
78,EUR,Francie,4369432,4084,63484,1.31452718295419
25,EUR,OSN,4369432,4084,21243,1.25910924024843
31,EUR,měna,4369432,4084,26777,1.23862267663819
16,EUR,služby,4369432,4084,13872,1.23401419103102
23,EUR,crime,4369432,4084,20160,1.22060897734869
18,EUR,Maďarsko,4369432,4084,15824,1.2170137427471
14,EUR,kraje,4369432,4084,12544,1.19407399958024
33,EUR,zaměstnanost,4369432,4084,30503,1.15747238040811
13,EUR,kuriozity,4369432,4084,12269,1.13363549980526
36,EUR,Rakousko,4369432,4084,35312,1.09073547039138
163,EUR,hospodářství,4369432,4084,159940,1.09035963167873
17,EUR,3,4369432,4084,17077,1.06506618033649
15,EUR,Jihočeský,4369432,4084,15111,1.06203127220955
33,EUR,GRAFIKA,4369432,4084,33509,1.05363872450949
11,EUR,energy,4369432,4084,11192,1.05153621692842
198,EUR,AVÍZO,4369432,4084,202855,1.04428424301857
16,EUR,currency,4369432,4084,16395,1.0441137455311
14,EUR,Olomoucký,4369432,4084,14388,1.04103866074052
17,EUR,Řecko,4369432,4084,17662,1.02978910438264
11,EUR,court,4369432,4084,11682,1.00742966442928
11,XYZ,AVÍZO,4369432,26,202855,9.11294198394837
15,XYZ,ČR,4369432,26,1842055,1.36848582362967
488,aut,Hyundai Nošovice,4369432,31633,507,132.9524872005
578,aut,Daimler,4369432,31633,605,131.964485043211
368,aut,Chrysler,4369432,31633,394,129.013809873099
387,aut,Ford Motor,4369432,31633,425,125.778565868481
633,aut,Opel,4369432,31633,714,122.458828895577
611,aut,autosalon,4369432,31633,734,114.981972315153
424,aut,Audi,4369432,31633,526,111.343460810467
497,aut,Porsche,4369432,31633,621,110.547618767637
325,aut,Saab,4369432,31633,408,110.029161033743
846,aut,GM,4369432,31633,1115,104.804540753901
381,aut,Nissan,4369432,31633,509,103.393157167135
3368,aut,Volkswagen,4369432,31633,4521,102.901612277442
513,aut,General Motors,4369432,31633,689,102.844896822626
31401,aut,automoto,4369432,31633,42347,102.424872871437
1064,aut,Toyota,4369432,31633,1453,101.148772628896
3106,aut,Škoda Auto,4369432,31633,4265,100.592828396926
289,aut,ojetá,4369432,31633,401,99.5492686423227
222,aut,Tesla,4369432,31633,323,94.936902022313
603,aut,BMW,4369432,31633,929,89.6574126493851
477,aut,AAA Auto,4369432,31633,748,88.0848836023979
217,aut,Kia,4369432,31633,353,84.9121098390366
202,aut,Volvo,4369432,31633,332,84.0422922683685
270,aut,Honda,4369432,31633,453,82.3284929833733
419,aut,Fiat,4369432,31633,729,79.3909681841951
462,aut,Renault,4369432,31633,868,73.520229486765
389,aut,PSA,4369432,31633,738,72.8077890597766
323,aut,TPCA,4369432,31633,675,66.0972442514908
143,aut,Mitsubishi,4369432,31633,311,63.5126526970339
307,aut,SDA,4369432,31633,678,62.5450991352054
573,aut,Tatra,4369432,31633,1418,55.8165506848488
147,aut,Mercedes,4369432,31633,374,54.2913119058805
297,aut,Ford,4369432,31633,762,53.837648364324
97,aut,Continental,4369432,31633,260,51.5327109712593
262,aut,registr,4369432,31633,714,50.6859607751045
642,aut,Hyundai,4369432,31633,1781,49.7915575943239
